"timeMillisSpent","score"
543,"-82hard/-42218soft"
657,"-74hard/-42258soft"
763,"-73hard/-42258soft"
872,"-72hard/-42259soft"
982,"-70hard/-42263soft"
1089,"-69hard/-42264soft"
1192,"-67hard/-42197soft"
1298,"-65hard/-42167soft"
1508,"-64hard/-42193soft"
1612,"-63hard/-42206soft"
1825,"-63hard/-42181soft"
2240,"-61hard/-42187soft"
2458,"-61hard/-42184soft"
2564,"-60hard/-42108soft"
2670,"-59hard/-42095soft"
2771,"-59hard/-42092soft"
2875,"-59hard/-42090soft"
2986,"-59hard/-42089soft"
3092,"-58hard/-42266soft"
3194,"-58hard/-42252soft"
3514,"-57hard/-42254soft"
3616,"-56hard/-42237soft"
3720,"-55hard/-42191soft"
3820,"-54hard/-42205soft"
3929,"-54hard/-42175soft"
4047,"-54hard/-42151soft"
4941,"-53hard/-42121soft"
5051,"-52hard/-42101soft"
5161,"-52hard/-42100soft"
5267,"-51hard/-42058soft"
5379,"-50hard/-42070soft"
5490,"-49hard/-42070soft"
5598,"-48hard/-42072soft"
5814,"-47hard/-42183soft"
5921,"-47hard/-42176soft"
6254,"-47hard/-42168soft"
7246,"-47hard/-42109soft"
7354,"-47hard/-42098soft"
7568,"-47hard/-41956soft"
7674,"-46hard/-41932soft"
8645,"-45hard/-41988soft"
