"timeMillisSpent","score"
74,"-8hard/-9058soft"
166,"0hard/-8756soft"
280,"0hard/-8551soft"
371,"0hard/-8452soft"
445,"0hard/-8385soft"
513,"0hard/-8361soft"
574,"0hard/-8332soft"
618,"0hard/-8312soft"
651,"0hard/-8307soft"
678,"0hard/-8303soft"
742,"0hard/-8299soft"
771,"0hard/-8293soft"
807,"0hard/-8284soft"
878,"0hard/-8276soft"
913,"0hard/-8273soft"
955,"0hard/-8268soft"
1083,"0hard/-8254soft"
1128,"0hard/-8249soft"
1242,"0hard/-8241soft"
1356,"0hard/-8238soft"
7711,"0hard/-8237soft"
7743,"0hard/-8222soft"
