"timeMillisSpent","score"
12,"-7hard/-7725soft"
14,"-7hard/-7416soft"
14,"-6hard/-7552soft"
15,"-4hard/-7669soft"
30,"-2hard/-8141soft"
70,"-2hard/-8055soft"
145,"-2hard/-7934soft"
194,"-2hard/-7921soft"
284,"-2hard/-7722soft"
285,"-2hard/-7709soft"
336,"-2hard/-7214soft"
526,"-2hard/-7094soft"
894,"-2hard/-7080soft"
1065,"-2hard/-7037soft"
1631,"-2hard/-7018soft"
1948,"-2hard/-7001soft"
2107,"-2hard/-6994soft"
2268,"-2hard/-6989soft"
2344,"-2hard/-6980soft"
2672,"-2hard/-6967soft"
2911,"-2hard/-6951soft"
2974,"-2hard/-6944soft"
3008,"-2hard/-6941soft"
3009,"-2hard/-6921soft"
3783,"-2hard/-6919soft"
3784,"-2hard/-6914soft"
3785,"-2hard/-6911soft"
4347,"-2hard/-6909soft"
5116,"-2hard/-6900soft"
5437,"-2hard/-6896soft"
5437,"-2hard/-6894soft"
5438,"-2hard/-6890soft"
6245,"-2hard/-6883soft"
6853,"-2hard/-6879soft"
6864,"-2hard/-6867soft"
7450,"-2hard/-6864soft"
8667,"-2hard/-6861soft"
9366,"-2hard/-6859soft"
