"timeMillisSpent","score"
7,"-4hard/-7342soft"
9,"-4hard/-7153soft"
10,"-2hard/-7314soft"
146,"-2hard/-7298soft"
213,"-2hard/-7288soft"
214,"-2hard/-7284soft"
231,"-2hard/-7271soft"
231,"-2hard/-7248soft"
231,"-2hard/-7241soft"
232,"-2hard/-7238soft"
235,"-2hard/-7208soft"
235,"-2hard/-7200soft"
304,"-2hard/-7195soft"
336,"-2hard/-7190soft"
345,"-2hard/-7163soft"
362,"-2hard/-7158soft"
387,"-2hard/-7153soft"
417,"-2hard/-7140soft"
474,"-2hard/-7102soft"
474,"-2hard/-7087soft"
718,"-2hard/-7055soft"
949,"-2hard/-7037soft"
1253,"-2hard/-7028soft"
1351,"-2hard/-7026soft"
1351,"-2hard/-7023soft"
1357,"-2hard/-7016soft"
1367,"-2hard/-7011soft"
1374,"-2hard/-6998soft"
2072,"-2hard/-6990soft"
2074,"-2hard/-6981soft"
2296,"-2hard/-6978soft"
2960,"-2hard/-6977soft"
3057,"-2hard/-6976soft"
4411,"-2hard/-6973soft"
4862,"-2hard/-6972soft"
4907,"-2hard/-6971soft"
5117,"-2hard/-6969soft"
5155,"-2hard/-6965soft"
